metadata,count,array_agg,array_agg
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/628""}",1,{ch_adverse_inference_possible},"{""Chapter 4.4 Defendant Not Giving Evidence, Where an Adverse Inference May Follow from That.docx""}"
"{""mnc"": ""[1940] HCA 4"", ""href"": ""https://jade.io/article/64166/section/1492""}",1,{ch_juror_responsibilities},{Chapter 19.4 Your Responsibilities as a Juror.docx}
"{""mnc"": ""[1959] UKHL 1"", ""href"": ""https://jade.io/citation/2817006""}",1,{ch_domestic_discipline},{Chapter 17.16 Domestic Discipline s 280.docx}
"{""mnc"": ""[2017] VSC 794"", ""href"": ""https://jade.io/article/567189/section/140543""}",1,{ch_multiple_defendants_charges},{Chapter 4.22 Separate Consideration of Charges—Multiple Defendants Confronting Multiple Charges.docx}
"{""mnc"": ""Family Law Act 1975 (Cth)"", ""href"": ""https://jade.io/article/216646/section/15082""}",1,{ch_malicious_acts_gbh},{Chapter 10.4 Acts Intended to Cause Grievous Bodily Harm and Other Malicious Acts s 317.docx}
"{""mnc"": ""[2008] VSCA 162"", ""href"": ""https://jade.io/article/82434""}",1,{ch_dna},{Chapter 4.26 DNA.docx}
"{""mnc"": ""[1972] 1 WLR 1009"", ""href"": ""https://jade.io/citation/2758534/section/5647""}",1,{ch_pre_recording_affected_witness},{Chapter 19.1 Guidelines for Conducting Pre-Recording of an Affected Witness.docx}
"{""mnc"": ""[1994] FamCA 118"", ""href"": ""https://jade.io/article/1091570""}",1,{ch_administering_stupefying_drug},{Chapter 10.10 Administering a Stupefying or Overpowering Drug or Thing with Intent s 316.docx}
"{""mnc"": ""Crimes (Family Violence) Act 1987 (Vic)"", ""href"": ""https://jade.io/article/281809/section/28""}",1,{ch_murder_302_1_aa},{Chapter 9.2 Unlawful Killing - Murder s 302(1)(aa).docx}
"{""mnc"": ""(1994) FLC ¶92–492"", ""href"": ""https://jade.io/citation/2381467""}",1,{ch_cruelty_children_under_16},{Chapter 10.9 Cruelty to Children Under 16 s 364.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/8900""}",1,{ch_lies_credit_only},{Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx}
"{""mnc"": ""Bail Act 1977 (Vic)"", ""href"": ""https://jade.io/article/281638/section/9188""}",1,{ch_special_witnesses},{Chapter 2.8 Special Witnesses.docx}
"{""mnc"": ""Conveyancing Act 1919 (NSW)"", ""href"": ""https://jade.io/article/275256""}",1,{ch_stealing},{Chapter 13.1 Stealing s 391.docx}
"{""mnc"": ""[2006] FamCA 1386"", ""href"": ""https://jade.io/article/754408""}",1,{ch_choking_domestic_setting},{Chapter 10.8 Choking Suffocation or Strangulation in a Domestic Setting.docx}
"{""mnc"": ""Competition and Consumer Act 2010 (Cth)"", ""href"": ""https://jade.io/article/224884""}",1,{ch_repetition_of_insult},{Chapter 17.18 Prevention of Repetition of Insult s 270.docx}
"{""mnc"": ""[2021] FCA 879"", ""href"": ""https://jade.io/article/825840/section/140827""}",1,{ch_aggravation_robbery_assault_burglary},"{""Chapter 10.17 Circumstances of Aggravation (Robbery, Assault, and Burglary).docx""}"
"{""mnc"": ""34 NSWLR 723"", ""href"": ""https://jade.io/article/806061""}",1,{ch_provocation_304_post_2011},{Chapter 17.24 Provocation for Offences s 304 (Post-4 April 2011).docx}
"{""mnc"": ""[1942] AC 378"", ""href"": ""https://jade.io/citation/15614353""}",1,{ch_proof_mental_physical_elements},{Chapter 18.1 Proof of Mental and Physical Elements Commonwealth Offences.docx}
"{""mnc"": ""[2016] EWHC Ch 1464"", ""href"": ""https://jade.io/citation/6734885""}",1,{ch_making_child_exploitation_material},{Chapter 11.8 Making Child Exploitation Material s 228B.docx}
"{""mnc"": ""[1960] HCA 84"", ""href"": ""https://jade.io/article/65505/section/391060""}",1,{ch_drug_possession},{Chapter 14.1 Drugs Possession Drugs Misuse Act.docx}
"{""mnc"": ""[2013] VSC 120"", ""href"": ""https://jade.io/article/291887""}",1,{ch_grievous_bodily_harm},{Chapter 10.5 Grievous Bodily Harm.docx}
"{""mnc"": ""[2015] NSWCA 12"", ""href"": ""https://jade.io/article/366549""}",1,{ch_extraordinary_emergency},{Chapter 17.11 Extraordinary Emergency s 25.docx}
"{""mnc"": ""Children and Young Persons Act 1989 (Vic)"", ""href"": ""https://jade.io/article/281705""}",1,{ch_browne_v_dunn},{Chapter 4.9 The Rule in Browne v Dunn.docx}
"{""mnc"": ""[2013] VSC 588"", ""href"": ""https://jade.io/article/304894""}",1,{ch_expert_witnesses},{Chapter 4.28 Expert Witnesses.docx}
"{""mnc"": ""Bail Act 2013 (NSW)"", ""href"": ""https://jade.io/article/295881""}",1,{ch_taking_child_immoral_purposes},{Chapter 11.14 Taking Child for Immoral-Purposes s 219.docx}
"{""mnc"": ""[1915] UKHL 1"", ""href"": ""https://jade.io/citation/2845896""}",1,{ch_defence_dwelling_house},{Chapter 17.14 Defence of Dwelling House s 267.docx}
"{""mnc"": ""[2019] VSCA 219"", ""href"": ""https://jade.io/article/669554""}",1,{ch_conspiracy_non_commonwealth},{Chapter 7.2 Conspiracy Other than under the Criminal Code (Cth).docx}
"{""mnc"": ""[2020] VSCA 136"", ""href"": ""https://jade.io/article/736694""}",1,{ch_motive},{Chapter 4.23 Motive.docx}
"{""mnc"": ""[2020] VSC 785"", ""href"": ""https://jade.io/article/776905""}",1,{ch_hostile_witnesses},{Chapter 2.15 Hostile Witnesses.docx}
"{""mnc"": ""[2011] UKSC 34"", ""href"": ""https://jade.io/article/255527""}",1,{ch_threats_distribute_intimate_images},{Chapter 11.32 Threats to Distribute Intimate Images.docx}
"{""mnc"": ""[2009] NSWCA 177"", ""href"": ""https://jade.io/article/95956""}",1,{ch_going_armed_public},{Chapter 15.6 Going Armed in Public.docx}
"{""mnc"": ""[2013] VSC 743"", ""href"": ""https://jade.io/article/312939/section/140694""}",1,{ch_right_to_silence},{Chapter 4.5 Defendant's Right to Silence.docx}
"{""mnc"": ""[1884] UKHL 1"", ""href"": ""https://jade.io/citation/2326785""}",1,{ch_aiding_self_defence},{Chapter 17.22 Aiding in Self-Defence s 273.docx}
"{""mnc"": ""[2002] HCA 8"", ""href"": ""https://jade.io/article/68375""}",1,{ch_stalking_1999_to_2023},{Chapter 12.6 Stalking for Offences Between 30 April 1999 and 1 August 2023.docx}
"{""mnc"": ""[2009] HCA 49"", ""href"": ""https://jade.io/article/119721/section/788""}",1,{ch_incest},{Chapter 11.27 Incest.docx}
"{""mnc"": ""[2014] HCA 19"", ""href"": ""https://jade.io/article/332258""}",1,{ch_mistake_fact_sexual_post_2024},{Chapter 17.10 Mistake of Fact in Sexual Offending Post-September 2024.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2032""}",1,{ch_out_of_court_admissions},{Chapter 4.10 Defendant’s Out-of-Court Admissions or Self-Serving Statements—Including Police Interviews and Pre-Text Calls.docx}
"{""mnc"": ""[2013] VSC 488"", ""href"": ""https://jade.io/article/302167""}",1,{ch_other_sexual_discreditable_conduct},{Chapter 5.5 Evidence of Other Sexual or Discreditable Conduct of the Defendant.docx}
"{""mnc"": ""[2009] HCA 4"", ""href"": ""https://jade.io/article/88999/section/140756""}",1,{ch_produce_supply_child_abuse_object},{Chapter 11.25 Producing or Suppling Child Abuse Object s 228I.docx}
"{""mnc"": ""3 QB 234"", ""href"": ""https://jade.io/citation/5253491""}",1,{ch_self_defence_unprovoked_assault},{Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx}
"{""mnc"": ""[2023] VSCA 226"", ""href"": ""https://jade.io/article/1047189/section/141""}",1,{ch_delay_forensic_disadvantage},{Chapter 5.4 Delay-in-prosecution-and-significant-forensic-disadvantage.docx}
"{""mnc"": ""Community Gaming Regulation 2020 (NSW)"", ""href"": ""https://jade.io/article/760336""}",1,{ch_permitting_indecent_dealing},{Chapter 11.18 Indecent Dealing Permitting Indecent Dealing s 210(1)(c).docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/414510""}",1,{ch_lies_told_defendant},{Chapter 4.15 - Lies-Told-By-The-Defendant.docx}
"{""mnc"": ""[2011] HCA 49"", ""href"": ""https://jade.io/article/258459/section/140558""}",1,{ch_procuring_young_person_intercourse},{Chapter 11.22 Procuring Young Person Etc for Penile Intercourse.docx}
"{""mnc"": ""[1968] HCA 71"", ""href"": ""https://jade.io/article/66091""}",1,{ch_secret_commissions},"{""Chapter 15.11  Secret Commissions s 442B, s442M.docx""}"
"{""mnc"": ""21 NSWLR 502"", ""href"": ""https://jade.io/article/800315""}",1,{ch_abduction_child_under_16},{Chapter 12.1 Abduction of a Child Under 16 s 363A.docx}
"{""mnc"": ""16 NSWLR 582"", ""href"": ""https://jade.io/article/800209""}",1,{ch_claim_of_right},{Chapter 17.6 Claim of Right s 22(2).docx}
"{""mnc"": ""[2020] VSCA 220"", ""href"": ""https://jade.io/article/763867""}",1,{ch_parties_to_offence},{Chapter 7.3 Parties to an offence.docx}
"{""mnc"": ""Electronic Transactions Act 2000 (NSW)"", ""href"": ""https://jade.io/article/275689""}",1,{ch_robbery},{Chapter 13.5 Robbery s 409.docx}
"{""mnc"": ""[2019] HCA 40"", ""href"": ""https://jade.io/article/674180""}",1,{ch_privacy_recordings_227a_1},{Chapter 11.28 Observations or Recordings in Breach of Privacy s 227A(1).docx}
"{""mnc"": ""15 NSWLR 130"", ""href"": ""https://jade.io/article/800440/section/716""}",1,{ch_pervert_course_justice},{Chapter 15.1 Attempt to Pervert the Course of Justice.docx}
"{""mnc"": ""Migration Regulations 1994 (Cth)"", ""href"": ""https://jade.io/article/221946/section/621572""}",1,{ch_assault_bodily_harm},{Chapter 10.2 Assault occasioning bodily harm.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/903""}",1,{ch_aiding_suicide},{Chapter 9.7 Aiding suicide s 311.docx}
"{""mnc"": ""[2005] VSCA 13"", ""href"": ""https://jade.io/article/71478""}",1,{ch_special_warning_witnesses},{Chapter 4.30 Witnesses Whose Evidence May Require a Special Warning.docx}
"{""mnc"": ""4 De G F & J 517"", ""href"": ""https://jade.io/citation/5267890""}",1,{ch_capacity},{Chapter 17.1 Capacity s 29.docx}
"{""mnc"": ""2 Camp 317"", ""href"": ""https://jade.io/citation/15225368""}",1,{ch_self_defence_provoked_assault},{Chapter 17.21 Self-Defence Against Provoked Assault—Including When Death or GBH Occurs s 272.docx}
"{""mnc"": ""Conveyancing Act 1919 (NSW)"", ""href"": ""https://jade.io/article/275256/section/5184""}",1,{ch_stalking_after_2023},{Chapter 12.7 Stalking for Offences Charged After 1 August 2023.docx}
"{""mnc"": ""[1968] HCA 71"", ""href"": ""https://jade.io/article/66091/section/139932""}",1,{ch_riot_post_2008},{Chapter 15.10 Riot s 61 Offences After 1 December 2008.docx}
"{""mnc"": ""[1999] HCA 10"", ""href"": ""https://jade.io/article/68108""}",1,{ch_mistake_fact_sexual_pre_2024},{Chapter 17.9 Mistake of Fact in Sexual Offending Pre-September 2024.docx}
"{""mnc"": ""125 FLR 77"", ""href"": ""https://jade.io/citation/22588558""}",1,{ch_unlawful_wounding},{Chapter 10.7 Unlawful Wounding s 323.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/7331""}",1,{ch_defence_not_raised},{Chapter 3.4 Direction Where a Defence Is Not Raised by Counsel but Raised on the Evidence.docx}
"{""mnc"": ""1 AC 554"", ""href"": ""https://jade.io/citation/5606097/section/139972""}",1,{ch_compulsion_31_1_d},{Chapter 17.13 Compulsion s 31(1)(d).docx}
"{""mnc"": ""[1995] FamCA 154"", ""href"": ""https://jade.io/citation/3316313""}",1,{ch_threatening_violence},{Chapter 10.12 Threatening Violence s 75.docx}
"{""mnc"": ""Bail Act 1977 (Vic)"", ""href"": ""https://jade.io/article/281638/section/777840""}",1,{ch_fitness_for_trial},{Chapter 2.6 Fitness for Trial.docx}
"{""mnc"": ""Electronic Transactions Act 2000 (NSW)"", ""href"": ""https://jade.io/article/275689/section/97""}",1,{ch_housebreaking_implements},{Chapter 13.8 Possession of Housebreaking Implements s 425(1)(c).docx}
"{""mnc"": ""[2013] VSC 588"", ""href"": ""https://jade.io/article/304894/section/140724""}",1,{ch_conspiracy_evidence},{Chapter 4.29 Evidence in Conspiracy Cases.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/8366""}",1,{ch_references_co_offender},{Chapter 4.12 References to a Co-Offender.docx}
"{""mnc"": ""[1954] 5 HL Cas 185"", ""href"": ""https://jade.io/citation/6004007""}",1,{ch_serious_animal_cruelty},{Chapter 16.3  Serious Animal Cruelty.docx}
"{""mnc"": ""[1983] HCA 11"", ""href"": ""https://jade.io/article/67044""}",1,{ch_unwilled_acts_automatism},{Chapter 17.4 Unwilled Acts—Automatism s 23.docx}
"{""mnc"": ""[1982] HCA 52"", ""href"": ""https://jade.io/article/67012""}",2,"{ch_procuring_prostitution,ch_sexual_offence_age_impairment_defences}","{Chapter 16.2 Procuring Prostitution.docx,Chapter 17.27 Defences in Relation to Sexual Offences Which Relate to a Specific Age or Person with Impairment of the Mind.docx}"
"{""mnc"": ""[1968] HCA 8"", ""href"": ""https://jade.io/article/66100/section/139920""}",1,{ch_perjury},{Chapter 15.8 Perjury.docx}
"{""mnc"": ""[1987] HCA 5"", ""href"": ""https://jade.io/article/67385""}",1,{ch_unlawful_use_motor_vehicle},{Chapter 13.12 Unlawful Use of a Motor Vhicle Etc s 408A(1)(a).docx}
"{""mnc"": ""[1991] 1 QB 1"", ""href"": ""https://jade.io/citation/2677492""}",1,{ch_provocation_304_pre_2011},{Chapter 17.23 Provocation for Offences s 304 Pre-4 April 2011.docx}
"{""mnc"": ""26 SASR 101"", ""href"": ""https://jade.io/citation/1242712""}",1,{ch_intentional_intoxication},{Chapter 17.3 Intentional Intoxication.docx}
"{""mnc"": ""[2021] FCA 879"", ""href"": ""https://jade.io/article/825840""}",1,{ch_dangerous_vehicle_operation},{Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/13222""}",1,{ch_no_adverse_inference},"{""Chapter 4.3 Defendant Not Giving Evidence, Where No Adverse Inference.docx""}"
"{""mnc"": ""[2020] VCC 447"", ""href"": ""https://jade.io/article/726229""}",1,{ch_intermediaries},{Chapter 2.14 Intermediaries.docx}
"{""mnc"": ""[1988] HCA 7"", ""href"": ""https://jade.io/article/67475""}",1,{ch_insanity},"{""Chapter 17.5 Insanity ss 26, 27(1)-(2), 28(1)-(2).docx""}"
"{""mnc"": ""Bail Act 1977 (Vic)"", ""href"": ""https://jade.io/article/281638/section/776853""}",1,{ch_corporate_defendant},{Chapter 2.5 Corporate Defendant.docx}
"{""mnc"": ""Electronic Transactions Act 2000 (NSW)"", ""href"": ""https://jade.io/article/275689/section/75""}",1,{ch_extortion_post_2008},{Chapter 13.7 Extortion s 415(1) From 1 December 2008.docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/1767""}",1,{ch_unlawful_striking_death},{Chapter 9.6 Unlawful Striking Causing Death s 314A.docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/1410693""}",1,{ch_good_character},{Chapter 4.16 Good Character.docx}
"{""mnc"": ""[2014] VSC 351"", ""href"": ""https://jade.io/article/573610""}",1,{ch_criminal_negligence},{Chapter 8.2 Criminal Negligence s 289.docx}
"{""mnc"": ""Oaths and Affirmations Act 2018 (Vic)"", ""href"": ""https://jade.io/article/572467""}",1,{ch_jury_unanimity},{Chapter 3.5 Jury Unanimity.docx}
"{""mnc"": ""[1973] HCA 38"", ""href"": ""https://jade.io/article/66423""}",1,{ch_escape_lawful_custody},{Chapter 15.4 Escape from Lawful Custody s 142.docx}
"{""mnc"": ""[1927] HCA 13"", ""href"": ""https://jade.io/article/63296/section/140387""}",1,{ch_arson},{Chapter 13.2 Arson s 461.docx}
"{""mnc"": ""[1976] 2 NSWLR 504"", ""href"": ""https://jade.io/article/806228""}",1,{ch_receiving_post_2008},{Chapter 13.9  Receiving  s 433 From 1 December 2008.docx}
"{""mnc"": ""[2020] VSC 88"", ""href"": ""https://jade.io/article/716992""}",1,{ch_evidence_one_defendant},{Chapter 2.17 Evidence Admitted Against One Defendant Only.docx}
"{""mnc"": ""[1952] 2 All ER 176"", ""href"": ""https://jade.io/citation/2670140""}",1,{ch_commonwealth_drug_offences},{Chapter 18.3 Drugs—Commonwealth Drug Offences Under the Criminal Code (Cth).docx}
"{""mnc"": ""[1947] KB 130"", ""href"": ""https://jade.io/citation/2415451""}",1,{ch_unintentional_intoxication},{Chapter 17.2 Unintentional Intoxication s 28.docx}
"{""mnc"": ""Magistrates Court (Civil Proceedings) Rules 2005 (WA)"", ""href"": ""https://jade.io/article/680063""}",1,{ch_indecent_dealing_child_210_1_a},{Chapter 11.16 Indecent Dealing with a Child Under 16 s 210(1)(a).docx}
"{""mnc"": ""[1994] FamCA 160"", ""href"": ""https://jade.io/article/1091558""}",1,{ch_administering_poison},{Chapter 10.11 Administering Poison with Intent to Harm.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/918784""}",1,{ch_trial_procedure},{Chapter 2.1 Trial Procedure.docx}
"{""mnc"": ""[2018] QSC 276"", ""href"": ""https://jade.io/article/622574""}",1,{ch_involving_child_exploitation_material},{Chapter 11.7 Involving a Child in Making Child Exploitation Material s 228A.docx}
"{""mnc"": ""Magistrates Court (Civil Proceedings) Rules 2005 (WA)"", ""href"": ""https://jade.io/article/680063/section/166886""}",1,{ch_procuring_child_indecent_act},{Chapter 11.17 indecent Dealing Unlawfully Procuring a Child Under 16 to Commit an Indecent Act.docx}
"{""mnc"": ""[2020] FCA 1455"", ""href"": ""https://jade.io/article/769331/section/5110""}",1,{ch_rape_repealed_pre_2000},{Chapter 11.3 Rape s 347 (Now Repealed for Offences Occurring Prior to 27 October 2000).docx}
"{""mnc"": ""[1927] HCA 13"", ""href"": ""https://jade.io/article/63296""}",1,{ch_endangering_property_by_fire},{Chapter 13.3 Endangering Particular Property by Fire s 462.docx}
"{""mnc"": ""[2015] IEHC 175"", ""href"": ""https://jade.io/citation/4623227""}",1,{ch_sexual_assault},{Chapter 11.4 Sexual Assault.docx}
"{""mnc"": ""[1923] HCA 15"", ""href"": ""https://jade.io/article/63047""}",1,{ch_consent_post_2024},{Chapter 8.4 Consent Offences Post-23 September 2024.docx}
"{""mnc"": ""22 NSWLR 189"", ""href"": ""https://jade.io/citation/2758458""}",1,{ch_provocation_268_269},"{""Chapter 17.17 Provocation ss 268, 269.docx""}"
"{""mnc"": ""Civil Liability Act 2002 (NSW)"", ""href"": ""https://jade.io/article/275199""}",1,{ch_carnal_knowledge_impairment_pre_2023},{Chapter 11.12 Carnal Knowledge of Persons with an Impairment of the Mind s 216(1) (Offences Committed Before 1 August 2023).docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/71559""}",1,{ch_protected_witnesses},{Chapter 2.9 Protected Witnesses s 21M.docx}
"{""mnc"": ""[2019] HCA 40"", ""href"": ""https://jade.io/article/674180/section/140542""}",1,{ch_privacy_recordings_227a_2},{Chapter 11.29 Observations or Recordings in Breach of Privacy s 227A(2).docx}
